"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400",196,Theft,
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",191,Theft,
SHOPLIFTING - ATTEMPT,172,Theft,
CONTRIBUTING,160,Legal,
WEAPONS POSSESSION/BOMBING,143,Destruction of Property,
DISHONEST EMPLOYEE - GRAND THEFT,141,Theft,
DISHONEST EMPLOYEE - PETTY THEFT,108,Theft,
CHILD ABANDONMENT,79,Crimes against children,
TILL TAP - PETTY ($950 & UNDER),78,Theft,
GRAND THEFT / INSURANCE FRAUD,63,Fraud,
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,55,Human Trafficking,*****
CONSPIRACY,47,Legal,
DOCUMENT WORTHLESS ($200 & UNDER),44,Fraud,
LYNCHING,41,Assault,
LEWD/LASCIVIOUS ACTS WITH CHILD,41,Crimes against children,
PURSE SNATCHING - ATTEMPT,41,Theft,
"DRUGS, TO A MINOR",38,Crimes against children,
DISRUPT SCHOOL,37,Disruption,
CHILD PORNOGRAPHY,37,Crimes against children,
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",36,Theft,
TELEPHONE PROPERTY - DAMAGE,36,Destruction of Property,
BIKE - ATTEMPTED STOLEN,31,Theft,
BRIBERY,30,Legal,
DRUNK ROLL,27,Theft,
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM0065",21,Sexual,
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)0132",21,Fraud,
LYNCHING - ATTEMPTED,20,Assault,
PETTY THEFT - AUTO REPAIR,19,Theft,
"THEFT, COIN MACHINE - ATTEMPT",19,Theft,
"PICKPOCKET, ATTEMPT",18,Theft,
FAILURE TO DISPERSE,18,Disruption,
TILL TAP - GRAND THEFT ($950.01 & OVER),14,Theft,
GRAND THEFT / AUTO REPAIR,12,Theft,
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,11,Human Trafficking,*****
INCITING A RIOT,11,Disruption,
BIGAMY,10,Sexual,
DISHONEST EMPLOYEE ATTEMPTED THEFT,8,Theft,
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),8,Sexual,
ABORTION/ILLEGAL,5,Crimes against children,
"MANSLAUGHTER, NEGLIGENT",4,Assault,
TILL TAP - ATTEMPT,3,Theft,
BLOCKING DOOR INDUCTION CENTER,3,Disruption,
TRAIN WRECKING,2,Assault,
FIREARMS RESTRAINING ORDER (FIREARMS RO),1,Legal,
DRUNK ROLL - ATTEMPT,1,Theft,
