,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location ,Location Good,Date Occurred (datetime),Zip Code
1692499,181207845,02/21/2018,02/21/2018,545,12,77th Street,1203,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,0913 0908 1402 1215 1501 1419,16.0,F,B,101.0,STREET,511.0,VERBAL THREAT,AA,Adult Arrest,822.0,,,,FIGUEROA                     ST,51ST                         PL,"(33.9994, -118.3108)",True,2018-02-21,90062
1700085,180305728,01/27/2018,01/27/2018,2010,3,Southwest,317,761,BRANDISH WEAPON,1309 1822 0416 0334 0432 0342 0302,42.0,M,H,102.0,SIDEWALK,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,761.0,,,,1400 W  ADAMS                        BL,,"(34.0349, -118.2959)",True,2018-01-27,90007
1704313,181808152,03/17/2018,03/14/2018,2000,18,Southeast,1846,510,VEHICLE - STOLEN,,17.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,11200    HOOPER                       AV,,"(33.9332, -118.2522)",True,2018-03-14,90059
1679457,181605184,01/31/2018,01/12/2018,1200,16,Foothill,1689,354,THEFT OF IDENTITY,0928 1822,54.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,10900    CROCKETT                     ST,,"(34.2203, -118.368)",True,2018-01-12,91352
1670578,182104978,01/21/2018,01/21/2018,1350,21,Topanga,2126,510,VEHICLE - STOLEN,,17.0,,,104.0,DRIVEWAY,,,IC,Invest Cont,510.0,,,,7700    LOMA VERDE                   AV,,"(34.2106, -118.5896)",True,2018-01-21,91304
1662773,180604698,01/12/2018,01/12/2018,2200,6,Hollywood,666,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1310,55.0,M,H,101.0,STREET,,,IC,Invest Cont,740.0,,,,SUNSET,CASSIL,"(34.0944, -118.3277)",True,2018-01-12,90028
1685862,180206706,02/19/2018,02/19/2018,1515,2,Rampart,246,210,ROBBERY,0945 0344 0448 0342 0444,17.0,X,X,404.0,DEPARTMENT STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,400 S  ALVARADO                     ST,,"(34.0613, -118.2738)",True,2018-02-19,90057
1663024,180704520,01/14/2018,01/14/2018,1130,7,Wilshire,758,480,BIKE - STOLEN,0344,54.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,480.0,,,,1200    MULLEN                       AV,,"(34.0524, -118.3343)",True,2018-01-14,90019
1680875,180106699,02/07/2018,01/16/2018,800,1,Central,195,649,DOCUMENT FORGERY / STOLEN FELONY,0377,59.0,F,F,702.0,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,649.0,,,,1500 S  BROADWAY,,"(34.0349, -118.263)",True,2018-01-16,90015
1695938,180607417,03/02/2018,03/02/2018,1320,6,Hollywood,626,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1202,69.0,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,6300    QUEBEC                       DR,,"(34.1133, -118.3256)",True,2018-03-02,90068
