Crime Code Description,Count,Type
DRUNK ROLL,19,Destruction of Property
LYNCHING - ATTEMPTED,18,Theft
PETTY THEFT - AUTO REPAIR,18,Legal
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM0065",18,Theft
FAILURE TO DISPERSE,18,Sexual
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)0132",15,Fraud
"THEFT, COIN MACHINE - ATTEMPT",14,Assault
"PICKPOCKET, ATTEMPT",12,Theft
TILL TAP - GRAND THEFT ($950.01 & OVER),11,Theft
GRAND THEFT / AUTO REPAIR,11,Theft
BIGAMY,10,Disruption
LEWD/LASCIVIOUS ACTS WITH CHILD,9,Theft
INCITING A RIOT,8,Theft
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),8,Human Trafficking
DISHONEST EMPLOYEE ATTEMPTED THEFT,6,Disruption
CHILD PORNOGRAPHY,6,Sexual
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,5,Theft
ABORTION/ILLEGAL,3,Sexual
"MANSLAUGHTER, NEGLIGENT",3,Crimes against children
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,3,Assault
TILL TAP - ATTEMPT,2,Theft
BLOCKING DOOR INDUCTION CENTER,2,Disruption
DRUNK ROLL - ATTEMPT,1,Assault
TRAIN WRECKING,1,Legal
,,Theft
