Description ,Count,Type
PETIT LARCENY,81527,Theft
HARRASSMENT 2,62131,Assault
ASSAULT 3 & RELATED OFFENSES,52190,Assault
CRIMINAL MISCHIEF & RELATED OF,48830,Assault
GRAND LARCENY,44228,Theft
DANGEROUS DRUGS,23685,Miscellaneous
OFF. AGNST PUB ORD SENSBLTY &,20791,Disruption
FELONY ASSAULT,20374,Assault
ROBBERY,16969,Theft
BURGLARY,15183,Theft
MISCELLANEOUS PENAL LAW,13464,Miscellaneous
DANGEROUS WEAPONS,10529,Assault
OFFENSES AGAINST PUBLIC ADMINI,9395,Legal
GRAND LARCENY OF MOTOR VEHICLE,7329,Theft
VEHICLE AND TRAFFIC LAWS,6274,Disruption
INTOXICATED & IMPAIRED DRIVING,5932,Disruption
SEX CRIMES,5695,Crimes against children
FORGERY,5223,Legal
THEFT-FRAUD,5077,Theft
CRIMINAL TRESPASS,4327,Disruption
FRAUDS,3576,F
POSSESSION OF STOLEN PROPERTY,2037,Theft
UNAUTHORIZED USE OF A VEHICLE,1604,Theft
OTHER OFFENSES RELATED TO THEF,1519,Theft
RAPE,1444,Sexual
OFFENSES AGAINST THE PERSON,1289,Assault
OFFENSES INVOLVING FRAUD,1176,Fraud
ADMINISTRATIVE CODE,1076,Legal
ARSON,1042,Destruction of Property
NYS LAWS-UNCLASSIFIED FELONY,491,Miscellaneous
THEFT OF SERVICES,469,Theft
OTHER STATE LAWS (NON PENAL LA,424,Miscellaneous
MURDER & NON-NEGL. MANSLAUGHTER,352,Assault
GAMBLING,343,Miscellaneous
BURGLAR'S TOOLS,286,Theft
FRAUDULENT ACCOSTING,178,Fraud
OFFENSES RELATED TO CHILDREN,146,Crimes against children
KIDNAPPING & RELATED OFFENSES,140,Crimes against children
PROSTITUTION & RELATED OFFENSES,109,Sexual
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,83,Miscellaneous
ALCOHOLIC BEVERAGE CONTROL LAW,78,Miscellaneous
OFFENSES AGAINST PUBLIC SAFETY,71,Disruption
PETIT LARCENY OF MOTOR VEHICLE,71,Theft
DISORDERLY CONDUCT,54,Disruption
JOSTLING,38,Assault
CHILD ABANDONMENT/NON SUPPORT,33,Crimes against children
ENDAN WELFARE INCOMP,24,Legal
ESCAPE 3,14,Miscellaneous
"LOITERING/GAMBLING (CARDS, DIC",13,Disruption
OTHER STATE LAWS,12,Miscellaneous
NEW YORK CITY HEALTH CODE,11,Miscellaneous
NYS LAWS-UNCLASSIFIED VIOLATION,6,Miscellaneous
DISRUPTION OF A RELIGIOUS SERV,6,Disruption
INTOXICATED/IMPAIRED DRIVING,5,Disruption
ANTICIPATORY OFFENSES,4,Assault
HOMICIDE-NEGLIGENT-VEHICLE,3,Assault
KIDNAPPING AND RELATED OFFENSES,2,Crimes against children
ADMINISTRATIVE CODES,2,Legal
UNLAWFUL POSS. WEAP. ON SCHOOL,2,Assault
FORTUNE TELLING,1,Miscellaneous
OTHER STATE LAWS (NON PENAL LAW),1,Miscellaneous
KIDNAPPING,1,Crimes against children
UNDER THE INFLUENCE OF DRUGS,1,Disruption
LOITERING,1,Disruption
OTHER TRAFFIC INFRACTION,1,Disruption
